nominal_year,season,location,shore,habitat,tile_id,side,family,count
2006,jan-sep,TILES-5,north,Lagoon,4,T,Acroporidae,0
2006,jan-sep,TILES-5,north,Lagoon,5,B,Acroporidae,0
2006,jan-sep,TILES-5,north,Lagoon,5,S,Acroporidae,0
2006,jan-sep,TILES-5,north,Lagoon,5,T,Acroporidae,0
2006,jan-sep,TILES-5,north,Lagoon,6,B,Acroporidae,0
2006,jan-sep,TILES-5,north,Lagoon,6,S,Acroporidae,0
2006,jan-sep,TILES-5,north,Lagoon,6,T,Acroporidae,0
2006,jan-sep,TILES-5,north,Lagoon,7,B,Acroporidae,1
2006,jan-sep,TILES-5,north,Lagoon,7,S,Acroporidae,0
2006,jan-sep,TILES-5,north,Lagoon,7,T,Acroporidae,0
2006,jan-sep,TILES-5,north,Lagoon,8,B,Acroporidae,1
2006,jan-sep,TILES-5,north,Lagoon,8,S,Acroporidae,0
2006,jan-sep,TILES-5,north,Lagoon,8,T,Acroporidae,0
2006,jan-sep,TILES-5,north,Lagoon,9,B,Acroporidae,0
2006,jan-sep,TILES-5,north,Lagoon,9,S,Acroporidae,0
2006,jan-sep,TILES-5,north,Lagoon,9,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,1,B,Acroporidae,1
2006,jan-sep,TILES-6,north,Lagoon,1,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,1,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,10,B,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,10,S,Acroporidae,1
2006,jan-sep,TILES-6,north,Lagoon,10,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,11,B,Acroporidae,5
2006,jan-sep,TILES-6,north,Lagoon,11,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,11,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,12,B,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,12,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,12,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,13,B,Acroporidae,1
2006,jan-sep,TILES-6,north,Lagoon,13,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,13,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,14,B,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,14,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,14,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,15,B,Acroporidae,3
2006,jan-sep,TILES-6,north,Lagoon,15,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,15,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,16,B,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,16,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,16,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,17,B,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,17,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,17,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,2,B,Acroporidae,1
2006,jan-sep,TILES-6,north,Lagoon,2,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,2,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,3,B,Acroporidae,2
2006,jan-sep,TILES-6,north,Lagoon,3,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,3,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,4,B,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,4,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,4,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,5,B,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,5,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,5,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,6,B,Acroporidae,3
2006,jan-sep,TILES-6,north,Lagoon,6,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,6,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,7,B,Acroporidae,5
2006,jan-sep,TILES-6,north,Lagoon,7,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,7,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,8,B,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,8,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,8,T,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,9,B,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,9,S,Acroporidae,0
2006,jan-sep,TILES-6,north,Lagoon,9,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,1,B,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,1,S,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,1,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,10,B,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,10,S,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,10,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,11,B,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,11,S,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,11,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,12,B,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,12,S,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,12,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,13,B,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,13,S,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,13,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,14,B,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,14,S,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,14,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,15,B,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,15,S,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,15,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,16,B,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,16,S,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,16,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,2,B,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,2,S,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,2,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,3,B,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,3,S,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,3,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,4,B,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,4,S,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,4,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,5,B,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,5,S,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,5,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,6,B,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,6,S,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,6,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,7,B,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,7,S,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,7,T,Acroporidae,0
2006,jan-sep,TILES-7,west,Lagoon,8,B,Acroporidae,0
